Time,Message,Exc String,Exc StackTrace
2016-01-08 13:24:21.9309,Application_Exit: ReportId- 10000:Failed to connect Database server,"System.Exception: Failed to connect Database server
   at Panasonic.PanaCIMEE.DataAdapterLayer.DataBase.CreateDbCommand(DbConnection conn, String spname)
   at Panasonic.PanaCIMEE.DataAdapterLayer.DataBase.CreateDbCommand(DbConnection conn, String spname, List`1 parameters)
   at Panasonic.PanaCIMEE.DataAdapterLayer.DataBase.ExecuteDataTable(String spname, List`1 parameters)
   at Panasonic.PanaCIMEE.Adaptor.DBTask.UpdateTaskStatus(JobStatus job_status)
   at Panasonic.PanaCIMEE.GenerateImage.CommonFunctions.UpdateTaskStatus()
   at Panasonic.PanaCIMEE.GenerateImage.CommonFunctions.Application_Exit(Boolean update_task)","   at Panasonic.PanaCIMEE.DataAdapterLayer.DataBase.CreateDbCommand(DbConnection conn, String spname)
   at Panasonic.PanaCIMEE.DataAdapterLayer.DataBase.CreateDbCommand(DbConnection conn, String spname, List`1 parameters)
   at Panasonic.PanaCIMEE.DataAdapterLayer.DataBase.ExecuteDataTable(String spname, List`1 parameters)
   at Panasonic.PanaCIMEE.Adaptor.DBTask.UpdateTaskStatus(JobStatus job_status)
   at Panasonic.PanaCIMEE.GenerateImage.CommonFunctions.UpdateTaskStatus()
   at Panasonic.PanaCIMEE.GenerateImage.CommonFunctions.Application_Exit(Boolean update_task)"
Time,Message,Exc String,Exc StackTrace
2016-01-08 13:54:23.1979,Report took more than 5 minutes. Please provide additional filters.,"System.Exception: Report took more than 5 minutes. Please provide additional filters.
   at Panasonic.PanaCIMEE.DataAdapterLayer.DataBase.ExecuteDataTable(String spname, List`1 parameters)
   at Panasonic.PanaCIMEE.Adaptor.DBRoute.GetRoutesWithoutLane(ApplicationName appName)
   at Panasonic.PanaCIMEE.WCFServices.PAService.GetRoutesWithoutLane(ApplicationName applicationName, PAError& ErrResult)","   at Panasonic.PanaCIMEE.DataAdapterLayer.DataBase.ExecuteDataTable(String spname, List`1 parameters)
   at Panasonic.PanaCIMEE.Adaptor.DBRoute.GetRoutesWithoutLane(ApplicationName appName)
   at Panasonic.PanaCIMEE.WCFServices.PAService.GetRoutesWithoutLane(ApplicationName applicationName, PAError& ErrResult)"
Time,Message,Exc String,Exc StackTrace
2016-01-08 13:56:01.4905,Exception caught in PMListener_Config.Dispose(),"System.NullReferenceException: Object reference not set to an instance of an object.
   at Panasonic.WebUI.Framework.Server.PMListener_Config.Dispose(Boolean disposing)",   at Panasonic.WebUI.Framework.Server.PMListener_Config.Dispose(Boolean disposing)
Time,Message,Exc String,Exc StackTrace
2016-01-14 16:50:29.9601,Exception caught in PMListener_Config.Dispose(),"System.NullReferenceException: Object reference not set to an instance of an object.
   at Panasonic.WebUI.Framework.Server.PMListener_Config.Dispose(Boolean disposing)",   at Panasonic.WebUI.Framework.Server.PMListener_Config.Dispose(Boolean disposing)
Time,Message,Exc String,Exc StackTrace
2016-01-14 16:53:08.7912,"HandleException: ReportId- 10000:Error 208, Level 16, State 1, Procedure cvt_history_report, Line 64, Message: Invalid object name 'all_equipment_view'.","System.Data.SqlClient.SqlException: Error 208, Level 16, State 1, Procedure cvt_history_report, Line 64, Message: Invalid object name 'all_equipment_view'.
   at System.Data.SqlClient.SqlConnection.OnError(SqlException exception, Boolean breakConnection)
   at System.Data.SqlClient.SqlInternalConnection.OnError(SqlException exception, Boolean breakConnection)
   at System.Data.SqlClient.TdsParser.ThrowExceptionAndWarning(TdsParserStateObject stateObj)
   at System.Data.SqlClient.TdsParser.Run(RunBehavior runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, BulkCopySimpleResultSet bulkCopyHandler, TdsParserStateObject stateObj)
   at System.Data.SqlClient.SqlDataReader.ConsumeMetaData()
   at System.Data.SqlClient.SqlDataReader.get_MetaData()
   at System.Data.SqlClient.SqlCommand.FinishExecuteReader(SqlDataReader ds, RunBehavior runBehavior, String resetOptionsString)
   at System.Data.SqlClient.SqlCommand.RunExecuteReaderTds(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, Boolean async)
   at System.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method, DbAsyncResult result)
   at System.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method)
   at System.Data.SqlClient.SqlCommand.ExecuteReader(CommandBehavior behavior, String method)
   at System.Data.SqlClient.SqlCommand.ExecuteDbDataReader(CommandBehavior behavior)
   at System.Data.Common.DbCommand.System.Data.IDbCommand.ExecuteReader(CommandBehavior behavior)
   at System.Data.Common.DbDataAdapter.FillInternal(DataSet dataset, DataTable[] datatables, Int32 startRecord, Int32 maxRecords, String srcTable, IDbCommand command, CommandBehavior behavior)
   at System.Data.Common.DbDataAdapter.Fill(DataTable[] dataTables, Int32 startRecord, Int32 maxRecords, IDbCommand command, CommandBehavior behavior)
   at System.Data.Common.DbDataAdapter.Fill(DataTable dataTable)
   at Panasonic.PanaCIMEE.DataAdapterLayer.DataBase.ExecuteDataTable(String spname, List`1 parameters)
   at Panasonic.PanaCIMEE.Adaptor.DBReportData.GetReportData(ReportDefinition in_ReportDef, String localDateFormat, List`1& reportDBColumnInfo, Int32& record_count, StartEndTime& startEndTime)
   at Panasonic.PanaCIMEE.Adaptor.IOHelper.GetReportData(ParseReportData parser)
   at Panasonic.PanaCIMEE.GenerateImage.Program.ExportDataInSets(ParseReportData reportDefinition, ReportsExport reportExport, Boolean isEmail)
   at Panasonic.PanaCIMEE.GenerateImage.Program.ExportReport()
   at Panasonic.PanaCIMEE.GenerateImage.Program.Export()
   at Panasonic.PanaCIMEE.GenerateImage.Program.Main(String[] args)","   at System.Data.SqlClient.SqlConnection.OnError(SqlException exception, Boolean breakConnection)
   at System.Data.SqlClient.SqlInternalConnection.OnError(SqlException exception, Boolean breakConnection)
   at System.Data.SqlClient.TdsParser.ThrowExceptionAndWarning(TdsParserStateObject stateObj)
   at System.Data.SqlClient.TdsParser.Run(RunBehavior runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, BulkCopySimpleResultSet bulkCopyHandler, TdsParserStateObject stateObj)
   at System.Data.SqlClient.SqlDataReader.ConsumeMetaData()
   at System.Data.SqlClient.SqlDataReader.get_MetaData()
   at System.Data.SqlClient.SqlCommand.FinishExecuteReader(SqlDataReader ds, RunBehavior runBehavior, String resetOptionsString)
   at System.Data.SqlClient.SqlCommand.RunExecuteReaderTds(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, Boolean async)
   at System.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method, DbAsyncResult result)
   at System.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method)
   at System.Data.SqlClient.SqlCommand.ExecuteReader(CommandBehavior behavior, String method)
   at System.Data.SqlClient.SqlCommand.ExecuteDbDataReader(CommandBehavior behavior)
   at System.Data.Common.DbCommand.System.Data.IDbCommand.ExecuteReader(CommandBehavior behavior)
   at System.Data.Common.DbDataAdapter.FillInternal(DataSet dataset, DataTable[] datatables, Int32 startRecord, Int32 maxRecords, String srcTable, IDbCommand command, CommandBehavior behavior)
   at System.Data.Common.DbDataAdapter.Fill(DataTable[] dataTables, Int32 startRecord, Int32 maxRecords, IDbCommand command, CommandBehavior behavior)
   at System.Data.Common.DbDataAdapter.Fill(DataTable dataTable)
   at Panasonic.PanaCIMEE.DataAdapterLayer.DataBase.ExecuteDataTable(String spname, List`1 parameters)
   at Panasonic.PanaCIMEE.Adaptor.DBReportData.GetReportData(ReportDefinition in_ReportDef, String localDateFormat, List`1& reportDBColumnInfo, Int32& record_count, StartEndTime& startEndTime)
   at Panasonic.PanaCIMEE.Adaptor.IOHelper.GetReportData(ParseReportData parser)
   at Panasonic.PanaCIMEE.GenerateImage.Program.ExportDataInSets(ParseReportData reportDefinition, ReportsExport reportExport, Boolean isEmail)
   at Panasonic.PanaCIMEE.GenerateImage.Program.ExportReport()
   at Panasonic.PanaCIMEE.GenerateImage.Program.Export()
   at Panasonic.PanaCIMEE.GenerateImage.Program.Main(String[] args)"
Time,Message,Exc String,Exc StackTrace
2016-01-14 17:07:39.7210,ComWrapper.GetComPredefinedTime:Unable to cast COM object of type 'GraphData.clsGraphClass' to interface type 'GraphData._clsGraph'. This operation failed because the QueryInterface call on the COM component for the interface with IID '{AC325BB7-8B7B-4CE9-B674-548DF676F889}' failed due to the following error: No such interface supported (Exception from HRESULT: 0x80004002 (E_NOINTERFACE)).,"System.InvalidCastException: Unable to cast COM object of type 'GraphData.clsGraphClass' to interface type 'GraphData._clsGraph'. This operation failed because the QueryInterface call on the COM component for the interface with IID '{AC325BB7-8B7B-4CE9-B674-548DF676F889}' failed due to the following error: No such interface supported (Exception from HRESULT: 0x80004002 (E_NOINTERFACE)).
   at GraphData.clsGraphClass.ResolveDateRange(Object& vDateRange, Object& vIncr, Int16& iDatabase, Boolean& isScheduler)
   at Panasonic.PanaCIMEE.Adaptor.CommonClass.GetStartEndTime(Object DateRange, Object objIncrement, Int16 iDatabase)
   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetStartEndTime(DateRange oDateRange, Int16 shDatabase)
   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetComPredefinedTime(DateRange objDateRange, DatabaseTypes objDatabase)","   at GraphData.clsGraphClass.ResolveDateRange(Object& vDateRange, Object& vIncr, Int16& iDatabase, Boolean& isScheduler)
   at Panasonic.PanaCIMEE.Adaptor.CommonClass.GetStartEndTime(Object DateRange, Object objIncrement, Int16 iDatabase)
   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetStartEndTime(DateRange oDateRange, Int16 shDatabase)
   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetComPredefinedTime(DateRange objDateRange, DatabaseTypes objDatabase)"
Time,Message,Exc String,Exc StackTrace
2016-01-14 17:13:02.3694,ComWrapper.GetComPredefinedTime:Retrieving the COM class factory for component with CLSID {BD98F8C4-A750-11D3-B457-0008C740A288} failed due to the following error: 80004005.,"System.Runtime.InteropServices.COMException (0x80004005): Retrieving the COM class factory for component with CLSID {BD98F8C4-A750-11D3-B457-0008C740A288} failed due to the following error: 80004005.
   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetStartEndTime(DateRange oDateRange, Int16 shDatabase)
   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetComPredefinedTime(DateRange objDateRange, DatabaseTypes objDatabase)","   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetStartEndTime(DateRange oDateRange, Int16 shDatabase)
   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetComPredefinedTime(DateRange objDateRange, DatabaseTypes objDatabase)"
2016-01-14 17:13:02.4664,ComWrapper.GetComPredefinedTime:Retrieving the COM class factory for component with CLSID {BD98F8C4-A750-11D3-B457-0008C740A288} failed due to the following error: 80004005.,"System.Runtime.InteropServices.COMException (0x80004005): Retrieving the COM class factory for component with CLSID {BD98F8C4-A750-11D3-B457-0008C740A288} failed due to the following error: 80004005.
   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetStartEndTime(DateRange oDateRange, Int16 shDatabase)
   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetComPredefinedTime(DateRange objDateRange, DatabaseTypes objDatabase)","   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetStartEndTime(DateRange oDateRange, Int16 shDatabase)
   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetComPredefinedTime(DateRange objDateRange, DatabaseTypes objDatabase)"
Time,Message,Exc String,Exc StackTrace
2016-01-14 17:19:12.3796,ComWrapper.GetComPredefinedTime:The remote procedure call failed. (Exception from HRESULT: 0x800706BE),"System.Runtime.InteropServices.COMException (0x800706BE): The remote procedure call failed. (Exception from HRESULT: 0x800706BE)
   at GraphData.clsGraphClass.ResolveDateRange(Object& vDateRange, Object& vIncr, Int16& iDatabase, Boolean& isScheduler)
   at Panasonic.PanaCIMEE.Adaptor.CommonClass.GetStartEndTime(Object DateRange, Object objIncrement, Int16 iDatabase)
   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetStartEndTime(DateRange oDateRange, Int16 shDatabase)
   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetComPredefinedTime(DateRange objDateRange, DatabaseTypes objDatabase)","   at GraphData.clsGraphClass.ResolveDateRange(Object& vDateRange, Object& vIncr, Int16& iDatabase, Boolean& isScheduler)
   at Panasonic.PanaCIMEE.Adaptor.CommonClass.GetStartEndTime(Object DateRange, Object objIncrement, Int16 iDatabase)
   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetStartEndTime(DateRange oDateRange, Int16 shDatabase)
   at Panasonic.PanaCIMEE.Adaptor.ComWrapper.GetComPredefinedTime(DateRange objDateRange, DatabaseTypes objDatabase)"
